TN,TX,TAVG,RH_AVG,RR,SS,FF_X,DDD_X,FF_AVG,DDD_CAR
24.6,33.6,30.3,74.0,0.0,4.0,3,200.0,2,SW
25.0,34.4,28.9,82.0,6.713162705667276,4.5,4,170.0,1,C 
24.6,33.2,29.7,81.0,14.3,3.4,4,180.0,1,S 
25.4,33.4,29.5,82.0,4.0,4.3,6,210.0,3,SW
25.4,33.0,29.3,84.0,6.0,4.8,6,210.0,3,SW
24.8,33.2,30.5,78.0,6.713162705667276,3.4,4,230.0,2,SW
25.4,32.0,29.9,79.0,0.8,7.8,5,220.0,4,SW
25.8,32.2,27.8,86.0,0.0,7.5,5,90.0,2,C 
23.8,32.8,27.9,83.0,4.3,2.4,4,202.8481421647819,2,S 
23.6,32.2,27.2,87.0,26.1,4.1,5,210.0,2,SW
23.8,31.8,28.3,85.0,11.9,2.6,4,190.0,1,C 
25.2,31.4,27.3,90.0,17.6,4.6,3,240.0,2,SE
24.2,31.8,28.2,86.0,20.9,0.6,2,180.0,1,C 
24.6,32.5,29.1,82.0,0.8,0.7,4,200.0,2,S 
24.5,33.4,29.0,83.0,0.0,5.0,6,220.0,2,SW
24.6,32.6,29.5,81.0,8.7,7.2,2,240.0,1,S 
24.3,31.8,29.3,79.0,0.0,4.5,6,230.0,4,SW
24.0,31.2,28.7,79.0,0.0,8.6,3,240.0,2,W 
24.3,32.8,29.8,72.0,6.713162705667276,5.7,6,200.0,3,SW
24.8,32.0,29.6,77.0,0.0,8.2,5,210.0,2,S 
25.1,33.2,29.9,77.0,0.0,3.4,4,240.0,2,SW
25.0,29.9,27.9,86.0,0.0,7.0,5,290.0,2,S 
24.0,26.8,25.1,96.0,39.0,0.3,3,180.0,2,W 
23.8,29.8,25.9,92.0,102.7,0.0,4,260.0,2,W 
23.0,31.2,28.6,81.0,29.0,1.3,8,240.0,4,SW
23.8,29.4,26.9,90.0,30.9,7.3,6,240.0,3,SW
24.4,31.4,29.1,81.0,24.5,0.2,3,240.0,1,W 
22.6,30.5,27.2,86.0,40.1,7.4,4,250.0,2,SW
23.8,31.7,28.5,83.0,0.6,2.8,6,240.0,2,W 
24.2,33.0,29.9,76.0,3.5,5.3,4,240.0,2,SW
24.4,32.5,29.4,78.0,0.2,8.4,4,260.0,2,W 
24.4,32.0,28.5,84.0,0.8,6.0,5,210.0,3,SW
24.6,31.8,27.9,89.0,39.5,6.2,4,200.0,2,SW
24.0,32.2,27.6,87.0,54.5,6.0,2,200.0,1,C 
24.4,33.3,29.0,83.0,4.0,4.1,4,180.0,2,E 
24.2,33.4,27.6,86.0,0.0,4.1,4,20.0,2,SW
23.2,32.6,29.8,77.0,37.7,3.8,4,200.0,2,S 
24.2,29.0,27.0,85.0,0.0,7.8,6,250.0,3,W 
23.8,31.4,28.1,85.0,0.5,1.8,5,230.0,2,SW
24.2,31.6,27.8,88.0,5.5,3.8,4,240.0,2,S 
23.6,31.8,29.1,80.0,41.4,2.8,4,230.0,2,SW
24.2,29.8,27.1,89.0,4.5,7.7,4,240.0,1,SW
24.2,31.8,27.6,83.0,0.7,0.1,4,180.0,2,SW
23.6,32.2,28.8,80.0,1.3,4.7,2,230.0,0,C 
24.0,32.2,29.6,78.0,0.0,1.9,5,230.0,2,SW
24.0,29.3,26.9,91.0,2.8,9.9,3,240.0,2,SW
24.0,32.2,29.4,78.0,10.5,0.0,4,240.0,2,SW
23.8,32.4,29.3,78.0,0.0,7.2,2,240.0,1,C 
24.2,32.6,29.9,77.0,0.0,8.2,2,190.0,1,S 
25.0,32.8,29.5,83.0,0.0,8.5,4,180.0,2,S 
25.5,32.8,30.3,79.0,4.5,5.4,4,240.0,2,S 
25.0,33.6,30.9,75.0,0.0,7.4,3,240.0,2,S 
25.0,32.2,30.4,78.0,0.0,9.1,4,210.0,2,SW
25.0,33.4,30.6,75.0,0.0,9.2,3,210.0,2,SW
25.0,33.6,28.6,86.0,0.0,9.1,3,210.0,1,C 
24.8,33.2,29.8,82.0,9.5,5.3,4,180.0,2,S 
25.4,33.2,30.4,81.0,1.5,6.1,2,200.0,1,S 
25.2,33.8,30.9,70.0,0.0,8.9,4,240.0,2,SW
24.6,32.6,29.5,79.0,0.0,10.1,4,230.0,2,SW
25.2,33.0,28.1,85.0,0.0,5.3,4,250.0,2,W 
24.8,31.8,27.3,88.0,7.0,6.1,5,210.0,2,SW
23.4,32.4,29.2,81.0,13.9,4.8,3,240.0,1,C 
24.0,33.5,29.2,82.0,0.0,4.6,3,210.0,1,C 
24.1,32.4,28.2,85.0,0.0,2.7,4,230.0,2,C 
23.4,33.2,28.8,85.0,6.4,5.6,3,210.0,1,S 
24.2,31.6,28.7,84.0,3.2,4.3,3,210.0,1,SW
24.4,32.4,28.3,86.0,0.8,3.6,3,240.0,2,SW
24.0,31.6,28.5,86.0,6.5,3.4,3,190.0,1,S 
24.5,32.3,29.6,80.0,1.0,5.5,6,230.0,3,SW
24.5,32.5,29.0,83.0,0.2,7.6,4,200.0,2,S 
24.6,33.1,28.5,87.0,5.5,6.8,4,210.0,1,C 
24.8,32.0,29.6,84.0,7.5,3.3,2,200.0,1,C 
25.4,32.2,29.1,84.0,6.713162705667276,3.3,5,260.0,2,C 
24.4,28.2,25.2,95.0,48.0,4.9,4,230.0,2,SW
23.3,30.0,27.5,87.0,17.2,0.0,3,220.0,1,SW
24.4,31.9,28.5,86.0,0.0,0.2,4,80.0,2,E 
25.0,34.0,30.7,75.0,6.713162705667276,2.1,4,360.0,2,N 
24.6,32.2,29.5,83.0,0.0,5.9,2,180.0,1,C 
24.8,32.0,28.0,88.0,0.0,2.8,5,260.0,2,S 
24.0,32.4,29.1,81.0,29.2,2.1,4,250.0,2,SW
24.5,32.0,29.3,75.0,3.1,7.0,6,240.0,4,SW
24.6,31.8,28.3,82.0,0.4,9.3,5,290.0,3,SW
24.4,32.0,29.5,74.0,0.0,6.6,3,250.0,1,W 
24.0,32.6,29.6,77.0,0.0,8.6,6,250.0,3,SW
23.2,32.8,29.8,75.0,0.0,10.0,3,210.0,2,SW
24.0,32.0,29.3,81.0,0.0,10.0,3,240.0,2,S 
24.6,32.0,29.6,80.0,0.0,4.6,4,250.0,2,C 
25.2,32.8,30.0,78.0,0.0,8.5,5,220.0,2,SW
24.8,33.0,29.9,78.0,0.0,9.3,5,220.0,3,SW
24.8,31.8,28.5,83.0,5.8,8.0,2,160.0,0,C 
25.0,32.7,28.7,85.0,0.0,2.0,3,290.0,1,C 
22.4,31.6,28.1,82.0,6.3,4.8,2,200.0,1,S 
22.8,31.4,27.2,88.0,0.0,4.3,3,180.0,1,C 
24.2,32.6,29.7,82.0,5.6,3.5,2,200.0,1,C 
25.2,32.8,30.3,81.0,0.4,8.2,2,200.0,1,S 
25.2,31.0,28.8,84.0,0.8,9.2,3,180.0,2,S 
25.3,29.6,27.6,90.0,2.2,4.9,3,260.0,2,S 
25.2,32.2,28.7,88.0,5.5,1.6,4,180.0,2,S 
25.2,33.0,29.9,83.0,3.8,6.2,5,200.0,2,S 
25.2,32.4,30.1,82.0,0.0,8.3,4,180.0,2,S 
25.2,32.4,29.5,82.0,0.0,8.9,4,200.0,2,S 
24.6,33.4,30.2,72.0,0.0,7.5,5,240.0,3,SW
23.8,33.2,29.9,76.0,0.0,9.1,5,230.0,3,SW
23.4,32.8,29.2,82.0,3.8,7.6,4,230.0,2,SW
24.6,30.6,27.9,87.0,6.713162705667276,6.8,3,240.0,1,C 
25.0,31.928130081300807,28.4,85.0,6.713162705667276,1.2,6,200.0,3,SW
24.9,32.0,28.8,84.0,2.3,3.9,3,230.0,1,C 
24.8,32.4,29.1,84.0,0.0,5.1,1,210.0,0,C 
24.8,32.4,29.4,83.0,0.0,1.6,5,210.0,3,SW
25.5,32.8,29.2,84.0,1.0,8.1,3,170.0,1,S 
24.8,33.2,29.9,79.0,0.8,6.0,5,240.0,3,SW
25.4,34.0,30.8,78.0,0.7,7.8,3,170.0,2,C 
25.4,32.8,29.8,79.0,1.0,9.0,2,190.0,1,C 
25.8,32.0,28.0,85.0,0.0,4.2,3,170.0,1,S 
24.6,32.4,28.9,82.0,4.9,3.8,4,230.0,2,SW
24.6,32.4,28.8,85.0,6.3,7.4,4,160.0,2,SW
24.7,32.2,28.6,87.0,22.0,6.2,5,230.0,2,SW
24.3,33.4,29.5,82.0,17.8,5.4,3,260.0,2,C 
25.4,31.2,27.4,90.0,1.0,6.1,4,100.0,2,C 
24.0,32.8,28.9,86.0,15.8,2.7,2,230.0,0,C 
24.8,31.2,28.1,88.0,0.0,4.8,4,240.0,1,C 
24.7,33.0,29.9,82.0,0.2,1.6,3,260.0,1,C 
25.0,34.0,29.9,80.0,10.0,6.3,5,100.0,3,SW
25.0,32.7,30.0,82.0,6.713162705667276,8.2,4,240.0,2,SW
24.8,33.6,30.5,76.0,0.5,8.8,4,180.0,2,S 
25.0,32.6,29.8,78.0,0.0,8.8,2,180.0,1,C 
24.6,32.6,29.6,80.0,0.0,4.3,2,240.0,1,SW
24.2,32.5,29.7,79.0,0.0,6.8,3,240.0,2,S 
23.4,33.4,29.8,76.0,0.0,6.7,2,190.0,1,S 
23.4,32.4,29.1,73.0,0.0,6.8,4,240.0,3,SW
22.2,31.3,27.9,78.0,0.0,9.7,2,220.0,1,C 
22.4,32.0,28.9,73.0,0.0,5.2,1,140.0,0,S 
21.6,31.6,28.6,81.0,0.0,8.0,3,200.0,2,S 
22.8,32.8,29.8,77.0,0.0,9.5,2,230.0,0,C 
23.8,32.8,29.2,83.0,6.713162705667276,8.6,3,200.0,1,C 
24.2,33.0,29.1,82.0,6.713162705667276,6.2,2,250.0,1,W 
24.2,33.2,29.6,80.0,0.0,6.1,4,220.0,2,SW
24.2,32.8,29.7,80.0,0.0,7.1,4,230.0,2,SW
24.1,33.2,29.6,78.0,0.0,7.1,3,230.0,2,S 
23.6,32.3,29.0,79.0,0.0,8.2,3,180.0,2,SW
23.8,29.8,27.6,86.0,0.0,8.7,2,150.0,1,C 
22.4,32.6,29.3,75.0,0.0,0.0,4,190.0,1,C 
23.0,32.6,29.4,78.0,0.0,9.2,3,210.0,2,SW
23.2,33.7,29.8,76.0,0.0,8.4,3,230.0,1,SW
22.2,33.2,29.3,72.0,0.0,8.5,2,160.0,1,C 
23.0,32.6,28.9,78.0,0.0,7.1,3,310.0,1,SW
23.1,32.7,29.1,78.0,0.0,8.2,3,200.0,2,W 
23.4,31.4,28.5,80.0,0.0,8.0,2,240.0,1,C 
23.8,31.6,28.6,81.0,6.713162705667276,8.2,4,260.0,2,W 
24.6,31.2,27.5,88.0,6.713162705667276,7.1,3,240.0,1,C 
24.8,29.9,27.8,88.0,2.3,1.2,3,250.0,2,W 
24.1,31.8,28.5,81.0,0.0,0.1,4,250.0,3,W 
23.2,32.8,28.6,82.0,0.0,5.2,4,260.0,1,C 
24.2,32.4,28.9,82.0,0.0,5.6,3,250.0,1,SW
23.8,32.2,28.9,82.0,0.0,7.1,4,270.0,2,W 
24.6,31.2,28.6,82.0,0.0,6.9,4,220.0,2,C 
23.6,32.0,28.7,82.0,0.0,6.3,4,200.0,2,C 
24.4,32.4,29.2,82.0,0.0,6.9,3,220.0,2,W 
25.4,33.2,29.7,79.0,0.0,5.8,3,250.0,1,C 
24.2,33.4,29.7,76.0,0.0,2.4,3,140.0,2,SE
23.8,33.1,29.4,75.0,0.0,7.1,5,240.0,1,C 
23.2,32.4,29.0,76.0,0.0,6.6,4,230.0,1,C 
22.8,33.2,29.4,75.0,0.0,8.1,3,200.0,2,S 
23.5,32.6,29.3,77.0,0.0,8.1,3,200.0,1,C 
22.8,33.2,29.3,77.0,0.0,7.3,4,200.0,1,W 
23.6,33.0,29.2,78.0,0.0,6.6,3,160.0,1,S 
23.6,33.2,29.6,77.0,0.0,5.2,2,70.0,1,S 
24.1,33.2,30.1,78.0,0.0,6.5,3,240.0,2,SW
25.0,32.2,28.8,83.0,0.0,9.0,2,190.0,1,C 
23.4,33.0,28.7,77.0,6.713162705667276,4.3,4,240.0,1,C 
24.2,33.4,29.7,78.0,0.0,5.1,3,230.0,1,E 
24.4,31.8,29.1,81.0,0.0,5.4,5,220.0,3,SW
23.6,31.8,28.6,77.0,0.0,6.6,4,240.0,2,S 
23.4,33.6,29.8,72.0,0.0,7.8,3,240.0,2,SW
24.8,33.4,29.8,76.0,0.0,8.5,3,180.0,2,E 
22.1,32.0,28.5,74.0,0.0,7.1,4,200.0,2,S 
21.6,32.8,28.7,74.0,0.0,7.1,4,90.0,2,S 
22.6,32.0,28.7,73.0,0.0,9.1,4,110.0,2,S 
21.2,31.4,28.1,76.0,0.0,9.1,3,180.0,2,S 
21.4,31.2,28.0,79.0,0.0,8.6,4,220.0,2,SW
25.0,30.3,28.5,78.0,0.1,2.6,4,90.0,2,E 
23.2,31.4,28.5,78.0,0.0,0.7,3,220.0,1,S 
24.1,33.8,29.6,76.0,0.4,5.5,3,20.0,2,N 
24.7,31.928130081300807,29.6,79.0,0.0,8.2,4,240.0,2,NE
25.4,32.2,29.3,81.0,0.0,7.7,4,210.0,2,SW
25.4,32.0,29.2,79.0,0.5,3.6,6,240.0,3,SW
24.2,33.2,29.5,74.0,0.0,6.5,5,200.0,3,S 
22.8,32.4,29.3,74.0,0.0,7.4,4,280.0,1,C 
23.0,31.3,28.5,80.0,0.0,8.3,4,180.0,2,S 
24.2,33.4,29.5,75.0,0.0,2.0,4,160.0,1,C 
24.6,32.6,26.0,92.0,8.3,4.2,3,180.0,1,E 
23.3,32.2,28.5,79.0,5.5,0.0,4,240.0,2,SW
23.2,32.2,28.7,77.0,0.0,4.7,3,110.0,2,E 
23.4,32.4,28.6,79.0,6.713162705667276,5.2,2,270.0,0,C 
23.447758761206195,28.0,27.072213247172865,83.82956381260097,6.713162705667276,5.7445705024311176,3,190.0,1,S
20.6,32.0,25.5,83.0,0.0,5.1,3,200.0,2,S
20.8,32.2,25.9,85.0,0.0,8.0,3,200.0,1,S
22.4,32.4,25.9,81.0,0.0,7.1,3,90.0,2,S
20.7,31.8,25.1,82.0,0.0,8.0,3,90.0,1,C
21.0,31.6,24.7,82.0,0.0,6.7,3,210.0,1,S
20.8,31.6,25.1,81.0,0.0,8.0,3,210.0,1,C
19.8,31.2,24.5,80.0,0.0,8.0,3,170.0,2,S
20.0,30.6,24.7,83.0,0.0,8.0,3,200.0,1,C
20.2,31.5,25.5,85.0,0.0,7.6,4,200.0,1,C
21.4,31.4,25.6,85.0,0.0,7.0,3,240.0,1,S
20.6,33.0,25.5,81.0,0.0,7.7,3,200.0,2,S
20.5,31.4,24.8,81.0,0.0,8.0,4,160.0,2,S
20.2,32.0,24.8,79.0,0.0,8.0,4,200.0,2,SW
20.8,31.2,25.0,82.0,0.0,8.0,3,250.0,1,W
21.8,30.8,25.2,87.0,0.0,6.4,5,250.0,2,C
22.3,30.2,25.5,85.0,0.0,6.1,3,200.0,2,S
22.3,31.7,25.7,82.0,0.0,7.8,3,180.0,2,S
21.6,32.0,25.6,83.0,0.0,7.4,4,300.0,1,SW
22.4,32.2,26.0,83.0,0.0,8.0,4,250.0,2,SW
22.7,31.0,25.7,81.0,0.0,7.6,3,170.0,2,S
22.5,31.0,25.9,85.0,0.0,7.5,3,220.0,2,SW
22.7,31.8,26.0,84.0,0.0,3.1,3,190.0,1,S
22.5,31.2,25.7,88.0,0.0,7.2,4,260.0,1,S
23.2,31.0,26.7,86.0,0.0,6.5,4,190.0,2,S
24.6,31.3,26.8,86.0,0.0,4.1,5,170.0,2,SW
23.7,31.8,26.4,87.0,0.0,6.4,3,180.0,1,SW
23.3,32.3,26.7,81.0,0.0,5.5,3,200.0,1,C
21.0,32.3,26.0,80.0,0.0,8.0,4,180.0,2,S
21.0,32.0,25.5,81.0,0.0,8.0,2,180.0,1,S
21.7,30.0,24.9,86.0,0.0,8.0,3,180.0,2,W
22.1,32.0,26.3,83.0,0.0,4.1,2,200.0,1,S
23.3,32.2,26.9,80.0,0.0,2.8,3,220.0,2,S
23.4,32.4,26.8,81.0,0.0,8.0,3,210.0,1,S
21.8,32.2,25.5,79.0,0.0,8.0,4,180.0,2,S
18.5,31.7,23.8,75.0,0.0,8.0,5,220.0,2,SW
18.8,32.3,24.6,78.0,0.0,8.0,4,180.0,2,S
18.9,32.8,25.4,81.0,0.0,8.0,4,250.0,2,W
20.4,31.4,24.6,79.0,0.0,8.0,6,140.0,3,S
20.3,30.6,24.2,84.0,0.0,8.0,3,200.0,2,SW
20.0,31.4,25.1,79.0,0.0,8.0,3,260.0,2,SW
20.8,31.5,24.8,83.0,0.0,8.0,5,140.0,2,SW
21.2,31.0,25.1,83.0,0.0,8.0,4,180.0,2,S
20.6,32.4,24.9,84.0,0.0,8.0,6,220.0,2,SW
22.4,32.4,26.3,81.0,0.0,8.0,3,260.0,2,SW
21.3,31.0,25.0,87.0,0.0,8.0,4,180.0,2,SW
22.3,31.2,25.2,85.0,0.0,7.8,5,240.0,2,SW
22.8,32.1,26.4,82.0,0.0,7.0,4,180.0,2,S
22.4,31.7,25.7,85.0,0.0,8.0,6,200.0,3,S
22.2,32.4,26.3,83.0,0.0,7.4,6,180.0,2,S
22.3,30.3,25.6,84.0,0.0,7.4,5,190.0,3,SW
22.5,30.8,25.5,87.0,0.0,7.5,5,210.0,3,SW
23.9,31.7,26.2,85.0,0.0,7.1,4,230.0,3,S
22.2,31.5,25.6,86.0,0.0,7.8,6,190.0,3,S
22.3,30.8,25.9,83.0,0.0,8.0,3,230.0,2,SW
23.6,29.8,26.1,84.0,0.0,6.1,3,150.0,2,SW
22.0,32.0,26.1,82.0,0.0,2.8,4,170.0,2,S
22.4,32.0,26.3,82.0,0.0,8.0,4,180.0,2,S
23.7,31.2,26.5,86.0,0.0,8.0,4,220.0,2,S
24.5,33.0,27.9,81.0,0.0,6.4,4,100.0,2,S
23.4,34.7,27.9,79.0,0.0,6.3,5,200.0,2,SW
22.9,33.8,27.5,78.0,0.0,8.0,4,180.0,2,S
23.1,31.6,27.7,82.0,0.0,8.0,4,170.0,2,S
24.0,32.4,27.0,86.0,5.3,5.8,4,160.0,1,C
24.0,30.7,26.6,88.0,0.5,6.1,3,200.0,2,S
23.6,32.1,26.6,87.0,6.0,3.0,4,200.0,2,S
23.0,32.8,27.1,82.0,0.0,3.8,5,180.0,3,S
22.0,33.0,26.9,79.0,0.0,8.0,7,210.0,3,SW
22.9,31.8,26.5,83.0,0.0,8.0,6,210.0,3,S
22.8,31.4,26.3,83.0,0.0,8.0,5,170.0,2,SW
22.5,31.2,26.2,81.0,0.0,8.0,4,200.0,3,S
21.2,31.7,25.8,81.0,0.0,8.0,5,210.0,2,SW
21.3,31.5,25.8,84.0,0.0,8.0,4,150.0,2,S
21.6,31.8,25.8,79.0,0.0,8.0,4,180.0,3,S
21.0,33.4,26.5,78.0,0.0,8.0,3,200.0,2,SW
23.0,32.4,26.8,79.0,0.0,8.0,4,190.0,2,S
23.9,33.4,27.4,83.0,0.0,6.3,4,200.0,2,S
24.3,34.0,28.1,83.0,0.0,8.0,4,200.0,2,S
25.0,32.8,27.7,86.0,0.3,7.3,5,190.0,1,C
23.5,33.6,27.8,80.0,0.4,2.5,5,210.0,2,SW
23.8,33.3,27.8,82.0,0.0,6.6,4,220.0,2,S
24.3,33.1,27.5,84.0,1.0,6.4,6,200.0,3,SW
24.6,35.0,28.7,80.0,0.0,7.7,5,230.0,2,S
24.7,35.0,29.0,78.0,0.0,8.0,6,190.0,3,S
24.2,35.4,28.9,77.0,0.0,7.6,4,200.0,2,S
25.6,33.4,28.5,82.0,0.0,8.0,5,180.0,2,S
25.3,33.0,28.0,84.0,0.0,6.6,4,190.0,2,S
25.0,33.1,27.9,84.0,1.4,8.0,4,200.0,2,S
24.0,34.2,28.0,78.0,0.0,4.4,6,180.0,3,S
24.4,33.3,28.1,79.0,0.0,8.0,4,240.0,2,S
24.2,35.0,28.4,77.0,0.0,7.2,5,200.0,3,S
24.8,34.3,28.5,78.0,0.0,8.0,5,180.0,3,S
25.3,34.1,28.9,74.0,0.0,8.0,4,170.0,3,S
25.7,33.8,28.7,76.0,0.0,8.0,5,200.0,2,S
25.4,34.0,28.7,78.0,0.0,8.0,5,220.0,3,S
24.3,34.8,28.7,76.0,0.0,8.0,4,190.0,2,S
24.2,36.3,28.9,76.0,0.0,8.0,4,180.0,2,S
24.6,35.0,29.0,79.0,0.0,8.0,5,200.0,2,S
25.3,34.0,28.9,77.0,0.0,7.8,4,200.0,3,S
24.3,32.9,28.1,74.0,0.0,7.7,5,210.0,2,S
22.0,32.8,26.9,74.0,0.0,4.2,5,260.0,2,S
21.7,32.4,26.9,73.0,0.0,8.0,4,230.0,2,S
22.4,33.0,27.5,74.0,0.0,8.0,5,220.0,2,SW
24.5,33.0,27.7,81.0,6.713162705667276,8.0,4,180.0,1,SW
24.9,29.0,25.3,90.0,1.5,4.2,4,220.0,2,SW
22.8,32.9,27.4,77.0,13.0,0.0,4,150.0,2,S
24.4,31.8,28.1,77.0,0.0,8.0,3,220.0,1,S
24.6,32.8,27.7,81.0,0.0,4.8,5,210.0,3,SW
23.7,32.4,27.8,77.0,0.0,8.0,4,180.0,2,S
24.3,32.3,27.8,80.0,0.0,8.0,6,210.0,4,W
23.8,32.0,27.3,84.0,1.0,8.0,5,180.0,3,S
24.6,32.4,27.9,80.0,0.0,8.0,6,190.0,3,SW
26.0,33.0,28.6,77.0,0.0,8.0,4,180.0,3,S
25.2,32.8,28.5,77.0,0.0,7.0,4,240.0,2,SW
25.2,33.2,28.5,80.0,0.0,8.0,5,240.0,3,SW
24.5,33.0,27.9,85.0,0.4,6.2,3,240.0,2,S
25.4,31.0,26.0,93.0,0.6,6.3,4,210.0,1,C
23.3,34.2,27.7,83.0,7.2,2.6,3,30.0,2,SW
23.8,32.0,25.9,90.0,10.5,6.3,3,350.0,1,C
23.9,33.6,26.9,85.0,0.2,1.5,4,90.0,2,E
23.2,33.2,28.1,83.0,27.9,4.1,4,200.0,2,S
23.4,35.2,28.5,77.0,2.5,5.6,4,210.0,1,SW
24.1,33.6,27.9,82.0,0.0,8.0,4,170.0,2,S
23.6,31.8,27.4,86.0,43.1,6.2,4,200.0,2,S
25.2,32.8,27.8,85.0,0.0,4.3,4,200.0,2,S
23.6,31.5,26.9,90.0,74.1,6.2,4,170.0,2,S
24.2,32.2,25.5,93.0,0.8,2.7,4,210.0,1,C
23.4,33.4,27.5,86.0,87.3,2.9,4,250.0,2,E
24.3,35.0,29.2,80.0,0.0,5.3,3,80.0,2,E
24.9,33.6,28.2,84.0,0.0,6.5,3,180.0,2,S
25.2,33.3,28.2,85.0,1.8,6.5,5,240.0,2,SW
25.8,32.6,27.1,89.0,2.6,5.0,4,190.0,2,C
23.6,33.6,26.1,91.0,73.5,2.5,7,230.0,2,SW
24.0,32.6,26.9,91.0,47.3,6.0,5,240.0,1,C
24.1,32.4,27.0,89.0,19.4,4.4,5,30.0,2,S
23.8,33.1,27.3,89.0,37.8,5.9,2,80.0,1,E
24.5,33.2,27.0,92.0,16.6,5.6,3,270.0,1,SW
24.6,32.6,26.8,91.0,23.1,3.5,4,170.0,2,S
23.8,32.2,27.3,88.0,72.6,6.0,4,210.0,2,SW
24.6,31.4,26.8,89.0,0.0,7.8,5,210.0,2,SW
23.9,32.4,26.6,90.0,39.2,2.4,4,310.0,2,C
24.5,31.8,28.1,83.0,13.4,6.0,3,270.0,2,S
24.2,31.4,27.4,86.0,0.0,6.1,5,220.0,2,SW
24.2,29.2,25.2,95.0,14.0,4.1,3,170.0,1,W
23.6,32.2,27.1,86.0,120.4,0.5,4,230.0,2,C
24.5,31.2,26.5,90.0,3.0,2.7,4,200.0,2,S
24.2,29.6,25.6,95.0,13.4,1.0,5,230.0,2,W
24.6,31.0,26.7,89.0,10.1,0.0,4,260.0,2,W
24.6,31.4,26.8,88.0,0.8,1.6,4,190.0,2,W
24.4,31.5,26.7,90.0,1.0,5.6,3,240.0,1,SW
23.8,32.4,26.8,89.0,1.6,0.7,4,190.0,1,C
23.8,31.4,25.9,91.0,14.1,4.6,4,240.0,2,SW
23.8,32.8,26.7,88.0,11.6,2.6,4,250.0,2,SW
24.0,31.8,27.3,89.0,35.3,2.3,4,180.0,2,S
23.0,31.5,26.2,90.0,40.5,3.8,3,300.0,2,SW
23.7,30.0,25.8,95.0,9.0,0.8,4,240.0,2,C
23.7,31.8,27.0,88.0,33.8,0.5,5,230.0,3,SW
24.3,33.2,26.1,93.0,6.713162705667276,6.0,3,260.0,1,C
24.4,33.8,28.4,82.0,18.8,0.0,3,200.0,1,S
24.4,27.0,25.0,96.0,30.5,6.1,2,240.0,1,C
24.2,32.0,26.5,91.0,29.5,0.0,3,350.0,1,C
23.2,30.6,26.5,90.0,56.3,1.1,3,200.0,2,S
23.9,31.7,26.2,90.0,5.6,0.0,5,30.0,2,NE
24.1,31.0,26.9,89.0,36.3,2.4,4,230.0,2,SW
23.8,33.0,28.0,82.0,1.8,4.7,5,250.0,3,W
24.9,32.0,27.1,88.0,0.6,8.0,4,260.0,2,W
23.6,32.6,27.4,87.0,4.6,5.7,5,230.0,2,SW
25.2,33.0,27.9,84.0,6.713162705667276,5.2,4,260.0,2,E
24.7,32.4,27.2,86.0,7.7,4.6,4,210.0,2,SW
24.5,31.5,26.2,90.0,0.2,3.1,4,260.0,2,SW
24.0,31.0,26.8,89.0,87.1,0.7,3,250.0,1,SW
24.0,30.0,25.8,92.0,17.4,0.5,5,250.0,2,SW
